test,Tool,rep_1,tool_2,rep_2,Fractional distance
5 fixed joint,FastML,repeat_2,GRASP,repeat_3,0.1487603305785124
5 fixed joint,FastML,repeat_2,GRASP,repeat_4,0.1322314049586777
5 fixed joint,FastML,repeat_2,GRASP,repeat_4,0.11983471074380166
5 fixed joint,FastML,repeat_2,GRASP,repeat_4,0.14049586776859505
5 fixed joint,FastML,repeat_2,GRASP,repeat_4,0.15702479338842976
5 fixed joint,FastML,repeat_2,GRASP,repeat_4,0.13636363636363635
5 fixed joint,FastML,repeat_2,PAML,repeat_1,0.13636363636363635
5 fixed joint,FastML,repeat_2,PAML,repeat_1,0.1487603305785124
5 fixed joint,FastML,repeat_2,PAML,repeat_1,0.17768595041322313
5 fixed joint,FastML,repeat_2,PAML,repeat_1,0.24380165289256198
5 fixed joint,FastML,repeat_2,PAML,repeat_1,0.1859504132231405
5 fixed joint,FastML,repeat_2,PAML,repeat_2,0.19008264462809918
5 fixed joint,FastML,repeat_2,PAML,repeat_2,0.16115702479338842
5 fixed joint,FastML,repeat_2,PAML,repeat_2,0.2396694214876033
5 fixed joint,FastML,repeat_2,PAML,repeat_2,0.23140495867768596
5 fixed joint,FastML,repeat_2,PAML,repeat_2,0.128099173553719
5 fixed joint,FastML,repeat_2,PAML,repeat_3,0.16115702479338842
5 fixed joint,FastML,repeat_2,PAML,repeat_3,0.25206611570247933
5 fixed joint,FastML,repeat_2,PAML,repeat_3,0.32644628099173556
5 fixed joint,FastML,repeat_2,PAML,repeat_3,0.34710743801652894
5 fixed joint,FastML,repeat_2,PAML,repeat_3,0.2190082644628099
5 fixed joint,FastML,repeat_2,PAML,repeat_4,0.256198347107438
5 fixed joint,FastML,repeat_2,PAML,repeat_4,0.33884297520661155
5 fixed joint,FastML,repeat_2,PAML,repeat_4,0.30165289256198347
5 fixed joint,FastML,repeat_2,PAML,repeat_4,0.359504132231405
5 fixed joint,FastML,repeat_2,PAML,repeat_4,0.16942148760330578
5 fixed joint,FastML,repeat_2,GRASP,repeat_1,0.09917355371900827
5 fixed joint,FastML,repeat_2,GRASP,repeat_1,0.14049586776859505
5 fixed joint,FastML,repeat_2,GRASP,repeat_1,0.1652892561983471
5 fixed joint,FastML,repeat_2,GRASP,repeat_1,0.12396694214876033
5 fixed joint,FastML,repeat_2,GRASP,repeat_1,0.16942148760330578
5 fixed joint,FastML,repeat_2,GRASP,repeat_2,0.17768595041322313
5 fixed joint,FastML,repeat_2,GRASP,repeat_2,0.13636363636363635
5 fixed joint,FastML,repeat_2,GRASP,repeat_2,0.16115702479338842
5 fixed joint,FastML,repeat_2,GRASP,repeat_2,0.1446280991735537
