test,Tool,rep_1,tool_2,rep_2,Fractional distance
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.13626373626373625
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.22417582417582418
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.10989010989010989
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.1076923076923077
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.12087912087912088
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.23516483516483516
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.12527472527472527
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.11428571428571428
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.12967032967032968
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.09230769230769231
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.12747252747252746
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.14065934065934066
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.08571428571428572
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.11428571428571428
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.07252747252747253
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.13406593406593406
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.16043956043956045
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.14725274725274726
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.15604395604395604
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.11868131868131868
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.0945054945054945
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.13186813186813187
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.08791208791208792
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.1010989010989011
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.0989010989010989
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.15824175824175823
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.03076923076923077
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.12307692307692308
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.09230769230769231
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.15384615384615385
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.12087912087912088
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.2725274725274725
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.11428571428571428
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.18461538461538463
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.18681318681318682
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.17362637362637362
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.15604395604395604
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.15824175824175823
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.12087912087912088
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.17362637362637362
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.1076923076923077
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.18021978021978022
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.015384615384615385
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.12527472527472527
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.13186813186813187
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.1912087912087912
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.1010989010989011
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.07912087912087912
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.16483516483516483
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.11648351648351649
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.15604395604395604
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.12967032967032968
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.10989010989010989
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.14725274725274726
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.11428571428571428
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.14945054945054945
